artigo_id,artigo_titulo,dataset_id,modalidade,tarefa,ambiente_coleta,dependencia_temporal,n_amostras_total,pretreino,modalidades_presentes,modelo_familia,modelo_especifico,protocolo_person_indep,protocolo_cross_dataset,metricas_principais,metrica_principal_valor,augmentations,code_available,weights_available,observacoes,
ID_04,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,NA,MULTIMODAL,multiclasse,NA,sim,NA,nao,"[""fisiologia"", ""audio"", ""video""]",Multimodal,NA,nao,nao,"[""ACC""]",0.9,NA,nao,nao,"Resultado principal do modelo multimodal híbrido proposto, reportado na Tabela 1.",
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Non-Specific Emotion Recognition,nao,nao,"[""ACC""]",0.95,NA,nao,nao,Baseline ANN reportado na Tabela II.,
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Robust Emotion Recognition,nao,nao,"[""ACC""]",0.88,NA,nao,nao,Baseline ANN reportado na Tabela II.,
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Similarity Matching Recognition,nao,nao,"[""ACC""]",927,NA,nao,nao,Baseline ANN reportado na Tabela II.,
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Joint Orientation-Based Recognition,nao,nao,"[""ACC""]",919,NA,nao,nao,Baseline ANN reportado na Tabela II.,
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",CNN,CNN-GLM,nao,nao,"[""ACC""]",0.9609,NA,nao,nao,Baseline CNN-GLM reportado na Tabela 2.,
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,DBFL,nao,nao,"[""ACC""]",0.98,NA,nao,nao,"Resultado principal do modelo DBFL, reportado na Tabela II.",
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,SER,multiclasse,controlado,nao,2879,nao,"[""audio""]",CNN,NA,nao,nao,"[""ACC""]",0.9287,NA,nao,nao,Resultado unimodal de fala no RAVDESS.,
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,FER,multiclasse,controlado,nao,2879,nao,"[""video""]",CNN,NA,nao,nao,"[""ACC""]",0.9477,NA,nao,nao,Resultado unimodal facial no RAVDESS.,
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,MULTIMODAL,multiclasse,controlado,nao,2879,nao,"[""video"", ""audio""]",Multimodal,NA,nao,nao,"[""ACC""]",0.6936,NA,nao,nao,Resultado de fusão multimodal áudio-vídeo no RAVDESS.,
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""video""]",CNN,HRNet,nao,nao,"[""CCC""]",0.6148,"[""center crop"", ""random horizontal flip""]",sim,sim,APR no ChaLearn First Impression. CCC médio do modelo HRNet extraído da Tabela V (p. 9).,
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""video""]",Transformer,VAT,nao,nao,"[""CCC""]",0.6298,"[""center crop"", ""random horizontal flip""]",sim,sim,APR no ChaLearn First Impression. CCC médio do modelo VAT extraído da Tabela V (p. 9).,
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""audio""]",CNN,CRNet,nao,nao,"[""CCC""]",0.3707,NA,sim,sim,APR no ChaLearn First Impression. CCC médio do modelo CRNet extraído da Tabela V (p. 9).,
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,sim,"[""audio""]",CNN,VGGish,nao,nao,"[""CCC""]",0.4213,NA,sim,sim,APR no ChaLearn First Impression. CCC médio do modelo VGGish extraído da Tabela V (p. 9).,
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.9338,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline CNN avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia.",
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",RNN,RNN,nao,nao,"[""ACC""]",0.8852,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline RNN avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia.",
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",SVM,SVM,nao,nao,"[""ACC""]",0.9017,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline SVM avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia.",
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",RF,RF,nao,nao,"[""ACC""]",0.9217,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline RF avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia.",
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",Ensemble_ML,CNN+SVM,nao,nao,"[""ACC""]",0.9795,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Modelo híbrido CNN+SVM classificado como Ensemble_ML. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia.",
ID_14,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,State Farm,HER,multiclasse,misto,sim,22400,nao,"[""video""]",CNN,Capsule Network,nao,nao,"[""F1_MACRO""]",0.89,NA,nao,nao,Avaliação de detecção de distração no dataset State Farm.,
ID_14,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,DEAP,HER,multiclasse,controlado,sim,NA,nao,"[""fisiologia""]",CNN,1-D CNN,nao,nao,"[""ACC""]",0.87,NA,nao,nao,Avaliação de reconhecimento afetivo no DEAP com sinais fisiológicos e modelo 1-D CNN.,
ID_15,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,Human Face Emotions (Kaggle),FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.98,"[""cropping"", ""rotation"", ""flipping""]",nao,nao,Modelo avaliado no dataset Human Face Emotions (Kaggle).,
ID_16,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""F1_MACRO""]",0.9257,"[""rotation"", ""zoom"", ""horizontal flipping""]",nao,nao,Macro-F1 priorizado em relação à acurácia na avaliação multiclasse.,
ID_16,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",SVM,SVM,nao,nao,"[""F1_MACRO""]",0.8924,"[""rotation"", ""zoom"", ""horizontal flipping""]",nao,nao,Baseline SVM comparado no estudo.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,MobileNet,nao,nao,"[""ACC""]",0.7105,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,XceptionNet,nao,nao,"[""ACC""]",0.7985,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,DenseNet121,nao,nao,"[""ACC""]",0.8145,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,ABD,nao,nao,"[""ACC""]",0.8164,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,MABD,nao,nao,"[""ACC""]",0.8213,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB,ambiente de coleta preenchido via fallback do dataset.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,JAFFE,FER,multiclasse,controlado,nao,15339,nao,"[""video""]",CNN,MABD,nao,sim,"[""ACC""]",0.2336,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Avaliação cross-dataset com treino em RAF-DB e teste em JAFFE.,
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,FER+,FER,multiclasse,misto,nao,15339,nao,"[""video""]",CNN,MABD,nao,sim,"[""ACC""]",0.6332,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Avaliação cross-dataset com treino em RAF-DB e teste em FER+.,
ID_18,Deep Learning for Facial Expression Recognition using EffeicienteNetB0,CK+,FER,multiclasse,controlado,nao,NA,sim,"[""video""]",CNN,EfficientNetB0,nao,nao,"[""F1_MACRO""]",0.7368,NA,nao,nao,Ambiente de coleta preenchido via fallback do CK+,macro-F1 priorizado como métrica principal.
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,FER-2013,FER,multiclasse,misto,nao,35000,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.86,NA,nao,nao,Resultado unimodal facial no FER-2013.,
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,CK+,FER,multiclasse,controlado,nao,1000,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.86,NA,nao,nao,Resultado unimodal facial no CK+.,
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,RAVDESS,SER,multiclasse,controlado,sim,1440,nao,"[""audio""]",RNN,LSTM,nao,nao,"[""ACC""]",0.61,NA,nao,nao,Resultado unimodal de fala no RAVDESS com modelo LSTM.,
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,RAVDESS,MULTIMODAL,multiclasse,controlado,sim,1440,nao,"[""video"", ""audio""]",Multimodal,NA,nao,nao,"[""ACC""]",0.69,NA,nao,nao,Resultado de fusão multimodal unindo CNN para faces e LSTM para áudio no RAVDESS.,
ID_41,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,PRIORI,SER,regressao,selvagem,sim,NA,sim,"[""audio"", ""texto""]",Transformer,Wav2Vec2 + BERT,sim,nao,"[""PCC""]",0.74,NA,nao,nao,Modelo áudio-texto com protocolo person-independent no corpus PRIORI.,
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,NA,nao,sim,"[""CCC""]",453,NA,nao,nao,Modelo multimodal de referência reportado no artigo para SER com áudio e texto.,
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,ExpeR,nao,sim,"[""CCC""]",504,NA,nao,nao,Modelo ExpeR avaliado em SER com áudio e texto,protocolo cross-dataset.
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,GEM,nao,sim,"[""CCC""]",527,NA,nao,nao,Modelo GEM avaliado em SER com áudio e texto,protocolo cross-dataset.
ID_39,FacePsy - An Open-Source Affective Mobile Sensing System - Analyzing Facial Behavior and Head Gesture for Depression Detection in Naturalistic Settings,FacePsy,HER,deteccao,selvagem,sim,544,nao,"[""video""]",Boosting_ML,LightGBM (Feature Selection hybrid),nao,nao,"[""AUC""]",0.81,NA,sim,nao,"Detecção de episódios depressivos vs. não depressivos em ambiente naturalístico. Melhor modelo híbrido com feature selection e LightGBM, avaliado com LOPDO; AUROC=0.81 e F1=0.67. SMOTE foi usado como oversampling no treino, não como augmentation.",
ID_25,Facial Expression Recognition with Transfer Learning: A Deep Dive,CK+,FER,multiclasse,controlado,nao,NA,sim,"[""video""]",CNN,DenseNet121,nao,nao,"[""F1_MACRO""]",0.98,"[""rescaling"", ""brightness variations"", ""horizontal flips""]",nao,nao,Ambiente de coleta preenchido via fallback do dataset,F1-score reportado como métrica principal.
ID_27,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,NA,FER,multiclasse,misto,nao,6300,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",699,NA,nao,nao,Modelo avaliado em contexto educacional,o artigo não identifica nominalmente o dataset.
ID_28,Identification of Emotions in a Given Speech Audio Clip by using ANN,NA,SER,multiclasse,NA,nao,2800,nao,"[""audio""]",ANN,ANN,nao,nao,"[""ACC""]",0.9567,NA,nao,nao,Dataset retirado do Kaggle,acurácia reportada no conjunto de teste.
ID_31,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,MSP-GEO,HER,regressao,misto,sim,NA,nao,"[""video""]",RNN,BiLSTM,sim,nao,"[""CCC""]",552,NA,nao,nao,"Regressão contínua de engajamento, boredom e confusion em contexto educacional; tratado como HER. O corpus é multimodal, mas esta linha representa o experimento visual/facial extraído.",
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,MRCL,sim,nao,"[""F1_MACRO""]",778,NA,sim,nao,Tarefa binária de guarding vs. not guarding com sinais multimodais (cinemática corporal + sEMG),GPE F1=0.778.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",RF,RF,sim,nao,"[""F1_MACRO""]",688,NA,sim,nao,Baseline RF no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",Boosting_ML,Boosting,sim,nao,"[""F1_MACRO""]",636,NA,sim,nao,Baseline Boosting no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,Logistic,sim,nao,"[""F1_MACRO""]",0.7,NA,sim,nao,Baseline logístico linear no EmoPain para guarding vs. not guarding com sinais multimodais,mantida como multiclasse por compatibilidade taxonômica da planilha.
ID_33,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,Dyadic IMPRESSION,MULTIMODAL,regressao,misto,sim,44923,nao,"[""audio"", ""video"", ""fisiologia""]",Multimodal,Listener Adaptive Cross-Domain Fusion,nao,nao,"[""CCC""]",788,NA,nao,nao,CCC extraído para a dimensão de Competência.,
ID_43,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,IEMOCAP,SER,multiclasse,controlado,sim,NA,nao,"[""audio""]",CNN,Attention-based CNN,sim,nao,"[""AB""]",0.6052,NA,nao,nao,"A métrica refere-se à acurácia não ponderada (UA), aqui registrada como AB, no regime speaker independent supervisionado com FL.",
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Arousal),nao,nao,"[""AUC""]",0.92,NA,nao,nao,Rótulos binários de arousal (positivo/neutro vs. negativo),AUROC ponderado de 0.92 para o modelo personalizado XGBoost com s-DA.
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Valence),nao,nao,"[""AUC""]",0.86,NA,nao,nao,Rótulos binários de valence (positivo/neutro vs. negativo),AUROC ponderado de 0.86 para o modelo personalizado XGBoost com s-DA.
