artigo_id,estrato,tarefa,titulo,ano,venue,doi,nucleares,robustez,uniforme,rank_uniforme,rank_nucleares,rank_robustez,delta_uniforme_nucleares,delta_uniforme_robustez,delta_rank_uniforme_nucleares,delta_rank_uniforme_robustez
ID_41,SER,SER,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,2025,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3407683,72.0,76.19047619047619,71.875,1.0,1.0,1.0,0.125,4.31547619047619,0.0,0.0
ID_39,FER,FER,FacePsy: An Open-Source Affective Mobile Sensing,2024,Proceedings of the ACM on Human-Computer Interaction,10.1145/3676505,64.58333333333334,65.0,66.66666666666666,2.0,4.0,3.0,-2.0833333333333144,-1.6666666666666572,2.0,1.0
ID_42,SER,SER,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",2023,Proc. Interspeech 2023,10.21437/Interspeech.2023-2111,68.0,71.42857142857143,62.5,3.0,2.0,2.0,5.5,8.92857142857143,-1.0,-1.0
ID_34,MULTI,MULTI,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2023.3297270,66.0,61.90476190476191,59.375,4.0,3.0,4.0,6.625,2.529761904761912,-1.0,0.0
ID_31,MULTI,MULTI,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,2024,International Conference on Multimodal Interaction,10.1145/3678957.3685737,56.00000000000001,50.0,56.25,5.0,6.0,7.0,-0.2499999999999929,-6.25,1.0,2.0
ID_38,MULTI,MULTI,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,2022,ACM Transactions on Human-Robot Interaction,10.1145/3526111,57.99999999999999,59.523809523809526,56.25,5.0,5.0,5.0,1.749999999999993,3.2738095238095255,0.0,0.0
ID_14,MULTI,MULTI,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,2024,IEEE Transactions on Industrial Informatics,10.1109/TII.2024.3452757,54.0,59.523809523809526,53.125,7.0,7.0,5.0,0.875,6.3988095238095255,0.0,-2.0
ID_43,SER,SER,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,2022,IEEE PerCom Workshops 2022,10.1109/PerComWorkshops53856.2022.9767445 ,47.91666666666667,50.0,50.0,8.0,8.0,7.0,-2.0833333333333286,0.0,0.0,-1.0
ID_27,FER,FER,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,2023,IEEE ACCESS,10.1109/ACCESS.2023.3267007,45.83333333333333,42.5,46.66666666666666,9.0,9.0,9.0,-0.8333333333333286,-4.166666666666657,0.0,0.0
ID_09,MULTI,MULTI,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,2024,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3363710,44.0,40.47619047619048,43.75,10.0,10.0,11.0,0.25,-3.2738095238095184,0.0,1.0
ID_17,FER,FER,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,2023,IEEE ICCCNT 2023,10.1109/ICCCNT56998.2023.10308238,39.58333333333333,42.5,40.0,11.0,11.0,9.0,-0.4166666666666714,2.5,0.0,-2.0
ID_19,MULTI,MULTI,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,2024,2nd World Conference on Communication & Computing,10.1109/WCONF61366.2024.10692119,32.0,30.952380952380956,31.25,12.0,12.0,12.0,0.75,-0.2976190476190439,0.0,0.0
ID_33,MULTI,MULTI,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,2023,IEEE ICASSP 2023,10.1109/ICASSP49357.2023.10095072,26.0,23.809523809523807,28.125,13.0,13.0,13.0,-2.125,-4.315476190476193,0.0,0.0
ID_25,FER,FER,Facial Expression Recognition with Transfer Learning: A Deep Dive,2024,IEEE TQCEBT 2024,10.1109/TQCEBT59414.2024.10545031,20.833333333333336,15.0,20.0,14.0,15.0,16.0,0.8333333333333357,-5.0,1.0,2.0
ID_07,FER,FER,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267,22.916666666666664,17.5,20.0,14.0,14.0,14.0,2.9166666666666643,-2.5,0.0,0.0
ID_18,FER,FER,Deep Learning for Facial Expression Recognition using EfficientNetB0,2023,Global Conference on Information Technologies and Communications,10.1109/GCITC60406.2023.10426615,20.833333333333336,15.0,20.0,14.0,15.0,16.0,0.8333333333333357,-5.0,1.0,2.0
ID_28,SER,SER,Identification of Emotions in a given speech audio clip by using ANN,2024,International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications,,20.833333333333336,17.5,20.0,14.0,15.0,14.0,0.8333333333333357,-2.5,1.0,0.0
ID_16,FER,FER,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,2024,"International Conference on Electronics, Computing, Communication and Control Technology",10.1109/ICECCC61767.2024.10593953,14.583333333333334,12.5,16.666666666666664,18.0,18.0,20.0,-2.0833333333333304,-4.166666666666664,0.0,2.0
ID_08,MULTI,MULTI,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,2023,IEEE 9th International Women in Engineering Conference on Electrical and Computer Engineering,10.1109/WIECON-ECE60392.2023.10456488,14.000000000000002,14.285714285714285,15.625,19.0,19.0,18.0,-1.6249999999999982,-1.3392857142857153,0.0,-1.0
ID_12,FER,FER,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502,12.5,13.333333333333334,12.5,20.0,20.0,19.0,0.0,0.8333333333333339,0.0,-1.0
ID_15,FER,FER,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327,8.333333333333332,7.5,10.0,21.0,21.0,22.0,-1.6666666666666679,-2.5,0.0,1.0
ID_04,MULTI,MULTI,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,2023,"International Conference on Communication, Computer Sciences and Engineering",10.1109/IC3SE62002.2024.10592940,8.0,9.523809523809524,9.375,22.0,22.0,21.0,-1.375,0.14880952380952372,0.0,-1.0
