artigo_id,estrato_audit,item_id,grau_audit,na_audit,justificativa_na_audit,evidencia_audit,observacoes_audit,estrato_retest,grau_retest,na_retest,justificativa_na_retest,evidencia_retest,observacoes_retest
ID_12,FER,DAD,0,0,,"p. 155; Sec. III; Fig. 1; origem do conjunto vaga baseada em fontes públicas, distribuição e demografia ausentes.","Grau 0. O autor afirma ter preparado o dataset de fontes públicas existentes, citando uma referência que não condiz com o tema. Acesso, distribuição de classes e demografia são totalmente ausentes ou vagos.",FER,0,0,,"p. 2; Sec. III. METHODOLOGY; Fig. 1; conjunto não identificável/origem vaga ('existing public sources'), acesso não rastreável, distribuição de classes ausente e demografia ausente sem declaração de indisponibilidade.","Grau 0. O estudo menciona o uso de imagens de expressões faciais obtidas de 'fontes públicas existentes', mas não nomeia, não cita o repositório correto e não fornece meios de acesso. Não relata a distribuição de classes na amostra (apenas a proporção de 80/20 de treino e validação) e não detalha nenhuma demografia pertinente (idade, gênero, raça), limitando-se a afirmar vagamente que inclui diversidade demográfica."
ID_15,FER,DAD,0,0,,"p. 208; Sec. III.A; Fig. 2; origem vaga de imagens (Kaggle/Google), distribuição e demografia ausentes.","Grau 0. Menciona imagens do Kaggle e do Google, sem permitir o acesso rastreável ao conjunto exato. A demografia e a distribuição de classes para as emoções são ausentes.",FER,0,0,,"Sec. III.A; --; procurou-se por demografia e distribuição das classes, mas a base tem origem vaga e não detalha atributos.","Grau 0. O estudo cita a utilização de uma base de dados combinada a partir de uma busca no 'Kaggle (Named: Human Face Emotions) and also additional google images'. Essa origem é vaga e o acesso não é rastreável. Além disso, a distribuição exata das classes utilizadas não é informada e nenhuma demografia pertinente (idade, gênero, raça/cor) é reportada ou declarada como indisponível."
ID_19,MULTI,DAD,1,0,,"p. 283-284; Sec. III.D; Fig. 7; conjuntos FER 2013, CK+ e RAVDESS identificados, demografia ausente para imagens.","Grau 1. Múltiplos conjuntos (FER 2013, CK+ e RAVDESS). RAVDESS relata informações demográficas parciais (atores, gênero), mas as informações demográficas para FER 2013 e CK+ estão ausentes.",MULTI,1,0,,"Sec. III.D; --; múltiplos conjuntos com demografia parcial (RAVDESS cita gênero, FER2013/CK+ omitem informações demográficas).","Grau 1 aplicado pela regra do mínimo. O estudo utiliza os conjuntos FER 2013, CK+ (para imagens faciais) e RAVDESS (para áudio), todos com origem explícita (obtidos via Kaggle). O RAVDESS reporta a demografia parcialmente (cita a participação de 12 atores e 12 atrizes), enquanto as bases FER 2013 e CK+ não possuem qualquer demografia reportada no texto, não havendo declaração explícita de indisponibilidade dessas características."
ID_41,SER,DAD,1,0,,"p. 312; Sec. IV.A; Table I; demografia detalhada para PRIORI, mas ausente para MSP-Podcast.","Grau 1. Embora a demografia para o conjunto alvo (PRIORI) seja bem detalhada, o artigo também utiliza o conjunto de dados MSP-Podcast para treinar modelos acústicos, e omite completamente a demografia desse conjunto (Regra do Mínimo aplicada).",SER,1,0,,"Sec. IV.A e V; Tab. I; distribuição e demografia omitidas para um conjunto, mas completas para outro.","Grau 1 aplicado pela regra do mínimo. Múltiplos conjuntos. Conjunto 1 (Treino - MSP-Podcast): origem identificada, mas demografia ausente e distribuição de classes incompleta (cita apenas que usou o 'predefined training split'). Conjunto 2 (Avaliação - PRIORI): origem e dados detalhados, critérios de inclusão/exclusão e seleção explícitos, distribuição de amostras detalhada (Tab. I e III) e demografia pertinente completamente reportada (idade média 53.94, 62.50% feminino, 93.75% brancos). As omissões demográficas e de distribuição do conjunto de treino reduzem o grau final para 1."
ID_33,MULTI,DAD,1,0,,"p. 654; Sec. 3; --; relata a dimensão do dataset 'Dyadic IMPRESSION' e a quantidade de participantes (40 ouvintes e 13 locutores), mas sem caracterização demográfica.","Grau 1. O dataset é verificado na literatura, contudo inexiste a presença das métricas populacionais descritivas e sociais dos participantes na extração.",MULTI,1,0,,"p. 2; Sec. 3. DATA PREPARATION; --; conjunto Dyadic IMPRESSION identificado com citação indireta, mas demografia ausente sem justificativa.","Grau 1. O estudo identifica explicitamente a base de dados utilizada (Dyadic IMPRESSION dataset e vídeos do Noxi), cujo acesso se dá de forma indireta via referências. A distribuição total de amostras é fornecida (44.923 amostras). Contudo, a demografia pertinente (idade, gênero, etc.) dos participantes e palestrantes é completamente omitida no relato e não há declaração explícita de indisponibilidade."
ID_43,SER,DAD,1,0,,"p. 675; Sec. IV; --; referencia de maneira curta a base IEMOCAP e sua composição de sessões interativas e emocionais, sem trazer demografia e distribuição.","Grau 1. Base perfeitamente identificável, mas subexplorada demograficamente na seção de avaliação do paper.",SER,1,0,,"Sec. IV. EVALUATION; Tab. I; conjunto IEMOCAP identificado com citação e distribuição de 4 classes mencionada, mas demografia ausente.","Grau 1. O estudo identifica a base de dados IEMOCAP (acesso indireto via citação) e detalha o uso de 4 emoções principais a partir do corpus improvisado. No entanto, o texto não reporta a demografia pertinente dos locutores da base (como idade, gênero, etc.) e nem explicita a indisponibilidade desses dados demográficos."
ID_12,FER,ROT,0,0,,"p. 138; Sec. II/III; Fig. 2; rótulos tratados como prontos (Happy, Sad, etc.), sem detalhar origem, processo ou confiabilidade.","Grau 0. Embora cite fontes públicas genericamente, não define qual base foi usada nem descreve a qualidade, protocolo de rotulagem ou qualquer métrica de concordância.",FER,0,0,,"p. 3; Sec. III. METHODOLOGY; Fig. 1; procurou-se pela origem dos rótulos, processo de anotação e medidas de concordância, mas os rótulos são tratados como dados prontos obtidos de fontes públicas não especificadas, sem qualquer métrica quantitativa.","Grau 0. O artigo afirma que o conjunto de dados foi preparado a partir de 'fontes públicas existentes' para classificação em quatro expressões (joy, pain, frustration, depression / happy, sad, angry, neutral), mas não cita especificamente qual é a base originária. O rótulo é tratado como dado pronto, sem descrição de quem anotou, do protocolo utilizado e sem reportar nenhuma medida quantitativa de concordância ou confiabilidade."
ID_15,FER,ROT,0,0,,"p. 187; Sec. III.A; --; adição de imagens extraídas do Google tratadas como rotuladas, sem descrição do processo de anotação.",Grau 0. Regra do mínimo. O estudo usa uma base do Kaggle (Grau 1) e adiciona imagens do Google para treinamento/teste. Não há descrição de como essas imagens do Google foram rotuladas manualmente ou validadas.,FER,0,0,,"Sec. III.A; --; procurou-se pelo processo de anotação, mas os rótulos de emoção da base do Kaggle e das imagens do Google são tratados como dados prontos sem medida de concordância.","Grau 0. O artigo trata as imagens obtidas do Kaggle e do Google como um 'labeled dataset' pronto para uso. Não há qualquer descrição sobre a origem do rótulo, quem anotou as imagens, ou qual foi o protocolo. Nenhuma medida quantitativa de concordância ou confiabilidade é reportada."
ID_19,MULTI,ROT,1,0,,"p. 264-266; Sec. III.D; --; rótulos herdados diretamente de bases públicas (FER 2013, CK+, RAVDESS), sem relato de concordância quantitativa.","Grau 1. Utilização de bases públicas referenciadas adequadamente como fonte dos rótulos, mas não dispõe de detalhamento da concordância para nenhuma delas (Regra do Mínimo).",MULTI,1,0,,"Sec. III.D; --; rótulos de emoção obtidos diretamente das bases públicas, mas sem reportar métricas de concordância originais.","Grau 1. Os rótulos de emoção (ex: happy, sad, angry, etc.) são herdados diretamente das bases de dados públicas (FER 2013, CK+ e RAVDESS). O artigo não descreve o processo de anotação nem apresenta qualquer medida quantitativa de concordância ou confiabilidade para esses rótulos."
ID_41,SER,ROT,1,0,,p. 295-309; Sec. IV.A/V.D; Tab. II; base MSP-Podcast herdada sem métrica de concordância; avaliações próprias (digiBP) com confiabilidade Omega reportada.,"Grau 1. Regra do Mínimo. O artigo atinge o nível 2 para o processo original (autorrelato/digiBP e avaliações clínicas) apresentando confiabilidade via Omega (Tabela 2). Porém, os modelos dependem da base MSP-Podcast, a qual apenas herda os rótulos de ativação e valência, carecendo de métrica local de confiabilidade.",SER,1,0,,"p. 5, 7; Sec. IV.A e V.D; Tab. II; rótulos do modelo de áudio herdados de base pública com citação explícita mas sem métrica de concordância, enquanto os rótulos de autorrelato possuem confiabilidade reportada.","Grau 1 aplicado pela regra do mínimo em decorrência de múltiplas rotulagens. Para a tarefa de reconhecimento passivo de emoção na fala, os rótulos de valência e ativação foram herdados da base pública MSP-Podcast com citação explícita (), porém o texto não reporta nenhuma medida quantitativa de concordância entre anotadores para essa base (Grau 1). Por outro lado, para os rótulos de humor via autorrelato (EMA / digiBP), o estudo reporta medidas quantitativas de confiabilidade do instrumento (Omega total variando de 0.514 a 0.943 na Tabela II), o que seria equivalente ao Grau 2. O grau final é rebaixado para 1 pela ausência de métrica do primeiro conjunto."
ID_33,MULTI,ROT,1,0,,"p. 735; Sec. 3; --; descrição mínima que relata a anotação da base herdada Dyadic IMPRESSION, sem a medida quantitativa explícita de concordância no texto.","Grau 1. Os dados advêm de base construída em estudo prévio, citando como ocorreu o processo de anotação e referenciando sua herança. Contudo, não oferece medida quantitativa de concordância ou confiabilidade para suportar a validade na leitura deste próprio material.",MULTI,1,0,,"p. 2; Sec. 3. DATA PREPARATION; --; descreve os anotadores (listeners) e o protocolo de coleta em tempo real, mas omite métrica de concordância.","Grau 1. O artigo descreve como os rótulos de impressões (warmth e competence) foram obtidos: os 40 participantes assistiram aos estímulos e realizaram as anotações contínuas em tempo real. No entanto, o texto não apresenta nenhuma medida quantitativa de concordância ou confiabilidade entre os anotadores, dependendo estritamente do rótulo herdado do conjunto de dados."
ID_43,SER,ROT,1,0,,p. 768-769; Sec. IV; --; o trabalho restringe sua avaliação à base pública IEMOCAP; rótulos herdados sem reporte de confiabilidade local.,Grau 1. Utiliza o subconjunto improvisado e herdado das atuações na base IEMOCAP com citação explícita. Não reporta medições de confiabilidade ou métricas dos anotadores.,SER,1,0,,"Sec. IV. EVALUATION; --; rótulos herdados da base pública IEMOCAP, mas sem medida quantitativa de concordância reportada no artigo.","Grau 1. O artigo utiliza os rótulos de emoção prontos (Neutral, Happy, Sad, Angry) herdados diretamente do conjunto de dados IEMOCAP. Não há descrição independente do processo de anotação, do protocolo original ou reporte de qualquer métrica quantitativa de concordância ou confiabilidade."
ID_12,FER,ESC,0,0,,"p. 138, 140; Sec. I/III; --; base de dados não identificável, inviabilizando a verificação da tarefa e condições.","Grau 0. Falha fundamental na rastreabilidade da base de dados (fontes públicas não nomeadas), anulando o critério 'Task'.",FER,0,0,,"p. 3; Sec. III. METHODOLOGY; Fig. 1; procurou-se por condições de tarefa e protocolo de coleta verificáveis, mas a base de dados não é identificada ('existing public sources'), quebrando a estrutura CET.","Grau 0. O artigo apresenta o construto (classificação de expressões em quatro categorias) e menciona os observáveis (pixels, landmarks faciais em imagens). Contudo, conforme as regras, como a base de dados não é identificável de forma rastreável (apenas citada vagamente como obtida de fontes públicas existentes), a Task é inverificável e a relação CET não se sustenta."
ID_15,FER,ESC,0,0,,p. 198; Sec. III.A; Fig. 1; base de dados e protocolo de rotulagem inverificáveis (imagens do Google e Kaggle vago).,"Grau 0. Construto genérico; dependência de imagens vagas obtidas via pesquisa no Google sem protocolo rastreável de validação, quebrando a exigência de Task verificável.",FER,0,0,,"Sec. I e III.A; --; procurou-se por base de dados rastreável, mas a menção genérica a uma busca no Kaggle e imagens adicionais do Google torna a tarefa/condição inverificável.","Grau 0. O estudo apresenta o construto (detecção de emoção) e os observáveis (expressões faciais/pixels da imagem). Contudo, a estrutura CET falha na Task, pois a base de dados formada ('Kaggle Named: Human Face Emotions' acrescida de buscas no Google Images) não é identificável de forma rastreável. Sem um conjunto de dados ou protocolo de coleta verificável, a inferência não se sustenta rigorosamente no relato."
ID_19,MULTI,ESC,1,0,,"p. 266-270; Sec. III.B/III.D; Fig. 1; tarefas definidas em FER2013, CK+ e RAVDESS, mas o enquadramento permanece implícito em modelos fim-a-fim.","Grau 1. Construto e tarefas identificados em bases bem documentadas, porém os observáveis são tratados como caixas pretas latentes nos modelos CNN e LSTM, sem conceituação explícita de sinais na Evidence.",MULTI,2,0,,"Sec. I e III.D; --; estrutura clara conectando o reconhecimento de emoções, observáveis visuais e acústicos, e os protocolos das bases de dados.","Grau 2. O artigo exibe uma estrutura CET completa: o construto (reconhecimento de emoções humanas) e a inferência são sustentados pelos observáveis nomeados (expressões faciais extraídas de pixels 48x48 e dados de áudio/fala processados temporalmente) e as condições da tarefa e protocolo são totalmente rastreáveis através das bases FER 2013, CK+ e RAVDESS."
ID_41,SER,ESC,2,0,,"p. 311-314; Sec. VI/VII; Fig. 3; articulação explícita da severidade do humor, métricas de inércia/variabilidade extraídas e o protocolo longitudinal.","Grau 2. Excelente estrutura CET. Relaciona severidade de transtorno bipolar (Claim) a matrizes dinâmicas de inércia, anomalias e variância (Evidence) em um protocolo com bases e questionários validados rastreáveis (Task).",SER,2,0,,"p. 2-3, 5, 8; Sec. I, IV.B, V e VI; Fig. 1, 3; relato explícito conectando o construto de severidade do humor/emoção, observáveis acústicos/lexicais e métricas dinâmicas, e protocolo rastreável de coleta no mundo real.","Grau 2. O estudo apresenta um CET completo. O construto-alvo e a inferência são explícitos (estimar severidade de sintomas do transtorno bipolar via medidas passivas e autorrelatadas). A evidência inclui observáveis nomeados (representações acústicas Wav2Vec2, representações lexicais BERT e features extraídas no nível do dia: média, inércia, variabilidade e anomalias). A tarefa/condições são detalhadamente descritas com protocolo de coleta do aplicativo PRIORI, avaliações EMA/clínicas (digiBP, YMRS, HDRS) e treinamento na base MSP-Podcast."
ID_33,MULTI,ESC,1,0,,"p. 756-757; Sec. 3; --; a evidência provém de vetores pré-extraídos da base, tornando a relação com o construto implícita.","Grau 1. Usa vetores gerados na publicação anterior da base Dyadic IMPRESSION (412D/68D). Sem a nomeação explícita e conceitual dos sinais locais como prova do construto, cai para 1.",MULTI,2,0,,"p. 1-2; Sec. 1 e 3; --; relação explícita entre as impressões sociais (construto), características faciais/acústicas/fisiológicas (observáveis) e a base Dyadic IMPRESSION (tarefa).","Grau 2. O estudo apresenta uma estrutura Claim-Evidence-Task completa. O construto-alvo (reconhecimento de impressões dyádicas, especificamente calor e competência) e a inferência são sustentados através de observáveis explicitamente nomeados (áudio, vídeo da face, movimentos dos olhos e sinais fisiológicos como EEG, ECG, volume de pulso sanguíneo). A tarefa e protocolo estão devidamente rastreáveis através da utilização do Dyadic IMPRESSION dataset."
ID_43,SER,ESC,2,0,,p. 780; Sec. III; Fig. 1; extração explícita de espectrogramas log-Mel como evidência para classificar emoções no cenário federado.,Grau 2. Conecta formalmente o uso de compartimentalização temporal e espectral em blocos de frequências (Evidence) sobre a tarefa federada e semisupervisionada para aferir as 4 emoções básicas.,SER,2,0,,"Sec. I e III. METHODOLOGY; Fig. 1; claim explícito de SER, observáveis baseados em log-Mel spectrograms da fala, e tarefa executada na base IEMOCAP.",Grau 2. O estudo possui a estrutura CET completa e verificável. O construto e a inferência são o Reconhecimento de Emoção na Fala (SER). A evidência (observáveis) está explicitamente definida na extração de características acústicas (Log-Mel Spectrograms a partir de áudio bruto). As condições da tarefa estão bem delineadas através do protocolo de uso do dataset IEMOCAP no cenário de aprendizado federado.
ID_12,FER,PRE,1,0,,"p. 140; Sec. III; --; menciona redimensionamento para 224x224, escala de cinza e normalização [1], mas omite intensidades/limites do aumento de dados.","Grau 1. Embora cite dimensões de entrada e normalização, as técnicas de aumento de dados (rotação, escala, inversão horizontal) e parâmetros dos extratores (HAAR) não possuem valores críticos reportados.",FER,1,0,,"p. 3; Sec. III. METHODOLOGY; Fig. 1; etapas de processamento e aumento de dados listadas, mas faltam as intensidades do aumento de dados e a ferramenta de landmarks.","Grau 1. O artigo lista as etapas de pré-processamento de imagem, informando os parâmetros de redimensionamento (224x224), conversão para tons de cinza e política de normalização (pixels entre 0 e 1). No entanto, menciona a extração de landmarks faciais sem identificar o modelo ou ferramenta utilizada. Além disso, cita o uso de aumento de dados (rotação, escala e espelhamento horizontal) omitindo parâmetros críticos, como as intensidades e os limites dessas transformações, o que impede a reprodução fiel."
ID_15,FER,PRE,1,0,,"p. 190, 193-195; Sec. IV/V; --; entrada 224x224x3 declarada, mas omite limiares e intensidades de aumento de dados e das cascatas de Haar.","Grau 1. Identifica transformações comuns (histogram equalization, Haar cascades, cropping, rotation) e dimensão final, mas as intensidades e configurações não são reproduzíveis.",FER,1,0,,"Sec. IV e V; --; lista o uso de data augmentation e redimensionamento, mas omite parâmetros críticos das transformações e do Haar cascade.","Grau 1. O texto relata a utilização de etapas de pré-processamento como conversão para tons de cinza, equalização de histograma, detecção de face (Haar cascades) e aumento de dados (cropping, rotation, flipping), fixando a dimensão de entrada em 224x224x3. No entanto, omite os parâmetros críticos dessas transformações (limites de rotação, critérios de filtragem, parâmetros exatos do algoritmo de face detection), o que impossibilita a reprodução idêntica do pipeline."
ID_19,MULTI,PRE,1,0,,"p. 262-265; Sec. III.A/III.B/Fig. 2; informa imagens redimensionadas em 48x48, mas omite todos os parâmetros críticos da extração de áudio (MFCC, pitch).","Grau 1. Regra do mínimo aplicada. A parte visual informa a dimensão (48x48), mas a modalidade acústica que processa o MFCC no LSTM não traz janelamento, quantidade de coeficientes ou taxa de amostragem.",MULTI,1,0,,"Sec. I e III.B; --; imagens redimensionadas para 48x48, mas omite todos os parâmetros críticos de processamento e extração de características do áudio.","Grau 1. O estudo relata o redimensionamento das imagens faciais para 48x48 pixels. No entanto, para o pipeline de fala, apenas menciona que usa a biblioteca Librosa e que a rede LSTM extrai os recursos, omitindo inteiramente os parâmetros críticos de pré-processamento de áudio (taxa de amostragem, tamanhos de janelas de processamento, extração de espectrogramas ou MFCCs, etc.), impossibilitando a reprodução operacional fiel da representação de entrada."
ID_41,SER,PRE,2,0,,"p. 287, 291-292, 299-300; Sec. III.B/IV.B/VI; --; relata parâmetros de VAD (webrtcvad agg=0), limites de entrada (20s, 128 subwords) e métricas estatísticas baseadas em janela de 30 dias.","Grau 2. Explica integralmente as configurações fixadas: remoção de silêncio com grau de agressividade, restrições numéricas para o Wav2Vec2/BERT e os recortes percentis (5 e 95) para detecção de anomalias diárias.",SER,1,0,,"p. 3-5, 8; Sec. III.B, IV.B e VI; Fig. 1; pipeline detalhado, mas faltam a dimensão de entrada para o extrator acústico e as versões dos serviços proprietários.","Grau 1. O artigo descreve bem as etapas de pré-processamento, incluindo a segmentação com o pacote webrtcvad (informando o parâmetro aggressiveness=0) e a obtenção da representação agregada (nível do dia) das emoções com parâmetros e percentis fixados. Contudo, ao usar o Wav2Vec2 como rede extratora de características, não informa a forma da entrada (como a taxa de amostragem de áudio exigida) e omite a versão exata do modelo. Também utiliza serviços proprietários (Microsoft Azure ASR e Speaker Recognition) com parâmetros de limiar de probabilidade, mas omite a versão do serviço no momento da extração."
ID_33,MULTI,PRE,2,0,,"p. 644-645; Sec. 3/4.1; --; reporta reamostragem para igualar comprimentos (44,923 frames), dimensão exata dos vetores (412 e 68) e fracionamento segmentar matemático em n=450.","Grau 2. Relata não apenas o tamanho sequencial em frames e dimensões numéricas das representações, mas como exatamente elas foram empacotadas para computar causalidade temporal (segmentos 1 a 449 com length 100, e o último com length 23).",MULTI,1,0,,"p. 2; Sec. 3. DATA PREPARATION; --; cita o uso de reamostragem, mas omite as etapas e parâmetros críticos das características extraídas.","Grau 1. O estudo descreve de forma limitada a obtenção dos dados de entrada. Menciona a reamostragem ('resampling') para alinhar o número de amostras com a frequência dos rótulos e informa as dimensões finais da sequência de features (412 para o falante e 68 para o ouvinte). Entretanto, não detalha o método de extração, os nomes exatos das features acústicas/visuais, tamanhos de janelas originais ou outras configurações críticas, inviabilizando a reprodução da obtenção das características."
ID_43,SER,PRE,2,0,,"p. 669; Sec. III; --; especifica recortes temporais de 2s, STFT em janela de 25ms com salto de 10ms, resultando em 64 bins Mel.",Grau 2. As características físicas da transformação computacional acústica que formam os espectrogramas de log-Mel estão explícitas e reproduzíveis.,SER,2,0,,"Sec. III. METHODOLOGY; Fig. 1; etapas de pré-processamento descritas com parâmetros críticos reprodutíveis (STFT, janela de 25ms, hop 10ms, 64 bins, Group Norm e Dropout de 0.1).","Grau 2. O artigo descreve de forma rastreável e reprodutível as etapas de pré-processamento do sinal e extração de características da rede: segmentos de áudio de 2 segundos transformados via STFT para Log-Mel spectrograms, com tamanho de janela de 25ms, sobreposição (hop size) de 10ms e 64 bins de frequência. Informa também o uso de group normalization, dropout espacial com taxa de 0.1, L2 regularization (0.0001) e ativação ReLU."
ID_12,FER,PRT,1,0,,"p. 138-140; Sec. III; --; particionamento descrito apenas por proporções (80/20), sem cardinalidades explícitas e sem declaração de independência de sujeito.","Grau 1. A proporção 80/20 é mencionada ao lado de uma técnica genérica de Grid Search, porém a omissão da cardinalidade das amostras e da independência de sujeitos barra o alcance da pontuação máxima.",FER,0,0,,"Sec. III. METHODOLOGY; procurou-se por independência e cardinalidades, mas o artigo detalha partições apenas por proporções (80/20) com teste ambíguo e sem separação por sujeito.","Grau 0. O artigo descreve o uso de 80% dos dados para treinamento e 20% para validação, e em seguida menciona usar métricas de um 'conjunto de teste' separado, gerando ambiguidade (já que 80+20 = 100%). Além de omitir as cardinalidades absolutas, não há qualquer menção de independência ou separação por sujeito para os dados de imagens faciais, resultando em risco previsível de vazamento de informações (dependência) entre os conjuntos."
ID_15,FER,PRT,0,0,,"p. 198; Sec. V; --; esquema de particionamento indefinido, sem cardinalidades ou métodos de validação.",Grau 0. Não existem menções de como o banco de imagens foi subdividido para treinar o modelo.,FER,0,0,,"Sec. IV e IV.B; Fig. 3/Fig. 4; procurou-se por esquema de particionamento e cardinalidades, mas não há definição clara das proporções ou separação entre treino e teste.","Grau 0. O artigo discute genericamente a fase de 'Testing and training of model', mas não define as proporções do particionamento, não explicita o esquema de divisão entre treino, validação e teste, e não reporta cardinalidades. Além disso, não há menção a nenhum tratamento para independência de amostras, configurando risco de vazamento de informações."
ID_19,MULTI,PRT,1,0,,"p. 264-266; Sec. III.A/III.D; --; reporta proporções e cardinalidades de imagens, mas não garante independência de atores/sujeitos no particionamento, nem regra clara de seleção.","Grau 1. Embora aponte as razões (80/20 e 90/10) e o tamanho total, a ausência de um particionamento focado em separar os sujeitos ou atores que compõem os dados é omitida.",MULTI,0,0,,"Sec. III.A e IV.A; Fig. 2; relata proporções gerais de particionamento (80:20 e 90:10), mas sem separação por sujeito e com cardinalidades conflitantes.","Grau 0. O artigo relata a divisão dos dados utilizando proporções fixas (hora cita 80:20, hora cita 90:10 gerando ambiguidade). Apesar das bases (como RAVDESS e CK+) possuírem múltiplas amostras ou gravações de um mesmo indivíduo (24 atores no RAVDESS), não há nenhuma regra de separação ou independência por sujeito, gerando forte risco de vazamento de informações (dependência) entre o treino e a validação."
ID_41,SER,PRT,2,0,,"p. 295, 309; Sec. IV.B/VII.B; --; particionamento explícito (leave-one-participant-out e splits predefinidos), uso de parada antecipada com paciência 15 e métrica CCC para validação.",Grau 2. Excelente descrição dos esquemas independentes de participantes adotados. Descreve a validação com CCC e estipula o critério de early stopping.,SER,1,0,,"p. 5, 9; Sec. IV.A, IV.B e VII.B; particionamento descrito via divisões predefinidas e LOSO, mas sem relatar as cardinalidades explícitas da base acústica.","Grau 1 aplicado pela regra do mínimo. O estudo avalia modelos em duas frentes. Para a predição clínica (LMEM), relata cardinalidades explícitas de sessões/sujeitos e utiliza um esquema com independência explícita adequada ao desenho (leave-one-participant-out). Contudo, para o treinamento do modelo acústico (Wav2Vec2/BERT), relata apenas o uso de 'predefined training split and validation split' da base pública MSP-Podcast, com regra de parada antecipada (paciência de 15), mas omite completamente as cardinalidades explícitas dessas partições, limitando o grau final."
ID_33,MULTI,PRT,0,0,,"p. 757; Sec. 5.1; --; relata proporções de 80/10/10, mas a divisão aleatória das amostras temporais não garante a independência das díades/sujeitos, gerando risco de vazamento.",Grau 0. O agrupamento aleatório em dados altamente seriais/temporais oriundos de uma amostragem restrita de sujeitos falha em controlar o vazamento intrínseco (data leakage).,MULTI,0,0,,p. 3; Sec. 5.1. Implementation; --; particionamento feito por amostragem aleatória (80/10/10) sobre dados contínuos/sujeitos sem separação explícita.,"Grau 0. O artigo descreve o uso de uma proporção fixa de particionamento ('randomly used 80% of the data for training, 10% for validation, and 10% for testing'). No entanto, os dados são temporais (44.923 amostras de 31 díades). Ao dividir os dados aleatoriamente, há a quebra da unidade de independência (mesmo participante ou segmento de sessão nas três partições), gerando risco óbvio e previsível de dependência e vazamento de informação, sem qualquer tratamento ou separação independente descrita."
ID_43,SER,PRT,1,0,,"p. 669-670; Sec. IV; Tab. I; detalha esquemas LOSO e 5-fold CV com relação à independência de locutor, mas omite a presença de um conjunto de validação e regra de seleção.","Grau 1. Os autores diferenciam estrategicamente o uso de splits dependentes ou independentes de locutores de acordo com o paradigma de teste, todavia os hiperparâmetros são fixos e não há regra de validação documentada.",SER,1,0,,"Sec. IV. EVALUATION; Tab. I; particionamento descrito via LOSO e 5-fold CV (80:20), mas omite as cardinalidades explícitas dos conjuntos.","Grau 1. O estudo descreve esquemas claros de particionamento e validação para lidar com a dependência dos dados, utilizando Leave-One-Session-Out (LOSO) para os experimentos Speaker Independent, e divisão aleatória (80:20) em 5-fold Cross-Validation para Speaker Overlap. A regra de validação se apoia na métrica Unweighted Accuracy. Contudo, o texto não detalha as cardinalidades absolutas (número exato de instâncias em cada partição de treino e teste), relatando apenas as proporções."
ID_12,FER,MOD,1,0,,"p. 130; Sec. III; --; menciona CNN com dropout e SVM via grid search, mas omite épocas, taxa de aprendizagem, tamanho do lote e otimizador.","Grau 1. A descrição é majoritariamente qualitativa. Informa a existência de dropout e grid search, mas omite completamente os valores numéricos dos hiperparâmetros de treinamento.",FER,1,0,,"p. 3-4; Sec. III. METHODOLOGY; Fig. 2; descreve a arquitetura CNN-SVM e a seleção de parâmetros do SVM via cross-validation, mas omite hiperparâmetros críticos da CNN.","Grau 1. O artigo descreve parcialmente o modelo, apresentando a arquitetura do modelo híbrido CNN-SVM (camadas de convolução, Max Pooling, ReLU, Flatten e kernel RBF no SVM). Menciona que os parâmetros do SVM foram determinados por grid search buscando a melhor acurácia de validação. Contudo, o texto falha ao omitir os valores numéricos essenciais para o treinamento da rede neural (CNN), não reportando o número de épocas ou iterações, taxa de aprendizagem, tamanho do lote e estratégias de regularização."
