artigo_id,artigo_titulo,dataset_id,modalidade,tarefa,ambiente_coleta,dependencia_temporal,n_amostras_total,pretreino,modalidades_presentes,modelo_familia,modelo_especifico,protocolo_person_indep,protocolo_cross_dataset,metricas_principais,metrica_principal_valor,M,b,b_regra,b_baixa_confianca,S,S_linha,W,n_itens_w_total,n_itens_w_aplicaveis,lambda_r,P_norm,R,augmentations,code_available,weights_available,observacoes
ID_04,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,NA,MULTIMODAL,multiclasse,NA,sim,NA,nao,"[""fisiologia"", ""audio"", ""video""]",Multimodal,NA,nao,nao,"[""ACC""]",0.9,0.9,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9,0.063,NA,nao,nao,"Resultado principal do modelo multimodal híbrido proposto, reportado na Tabela 1."
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,DBFL,nao,nao,"[""ACC""]",0.98,0.98,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.98,0.0686,NA,nao,nao,"Resultado principal do modelo DBFL, reportado na Tabela II."
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Joint Orientation-Based Recognition,nao,nao,"[""ACC""]",919,9.19,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,1.0,0.06999999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Non-Specific Emotion Recognition,nao,nao,"[""ACC""]",0.95,0.95,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.95,0.06649999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Robust Emotion Recognition,nao,nao,"[""ACC""]",0.88,0.88,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.88,0.0616,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Similarity Matching Recognition,nao,nao,"[""ACC""]",927,9.27,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,1.0,0.06999999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",CNN,CNN-GLM,nao,nao,"[""ACC""]",0.9609,0.9609,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9609,0.067263,NA,nao,nao,Baseline CNN-GLM reportado na Tabela 2.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,SER,multiclasse,controlado,nao,2879,nao,"[""audio""]",CNN,NA,nao,nao,"[""ACC""]",0.9287,0.9287,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9287,0.065009,NA,nao,nao,Resultado unimodal de fala no RAVDESS.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,FER,multiclasse,controlado,nao,2879,nao,"[""video""]",CNN,NA,nao,nao,"[""ACC""]",0.9477,0.9477,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9477,0.066339,NA,nao,nao,Resultado unimodal facial no RAVDESS.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,MULTIMODAL,multiclasse,controlado,nao,2879,nao,"[""video"", ""audio""]",Multimodal,NA,nao,nao,"[""ACC""]",0.6936,0.6936,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.6936,0.048552,NA,nao,nao,Resultado de fusão multimodal áudio-vídeo no RAVDESS.
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""audio""]",CNN,CRNet,nao,nao,"[""CCC""]",0.3707,0.3707,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.3707,0.07784699999999999,NA,sim,sim,APR no ChaLearn First Impression. CCC médio do modelo CRNet extraído da Tabela V (p. 9).
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""video""]",CNN,HRNet,nao,nao,"[""CCC""]",0.6148,0.6148,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.6148,0.12910799999999997,"[""center crop"", ""random horizontal flip""]",sim,sim,APR no ChaLearn First Impression. CCC médio do modelo HRNet extraído da Tabela V (p. 9).
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,sim,"[""audio""]",CNN,VGGish,nao,nao,"[""CCC""]",0.4213,0.4213,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.4213,0.088473,NA,sim,sim,APR no ChaLearn First Impression. CCC médio do modelo VGGish extraído da Tabela V (p. 9).
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""video""]",Transformer,VAT,nao,nao,"[""CCC""]",0.6298,0.6298,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.6298,0.132258,"[""center crop"", ""random horizontal flip""]",sim,sim,APR no ChaLearn First Impression. CCC médio do modelo VAT extraído da Tabela V (p. 9).
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.9338,0.9338,0.0,fallback_zero,True,0.0,0.0,0.16666666666666666,5,3,0.7,0.9338,0.10894333333333331,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline CNN avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia."
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",Ensemble_ML,CNN+SVM,nao,nao,"[""ACC""]",0.9795,0.9795,0.0,fallback_zero,True,0.0,0.0,0.16666666666666666,5,3,0.7,0.9795,0.11427499999999999,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Modelo híbrido CNN+SVM classificado como Ensemble_ML. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia."
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",RF,RF,nao,nao,"[""ACC""]",0.9217,0.9217,0.0,fallback_zero,True,0.0,0.0,0.16666666666666666,5,3,0.7,0.9217,0.10753166666666665,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline RF avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia."
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",RNN,RNN,nao,nao,"[""ACC""]",0.8852,0.8852,0.0,fallback_zero,True,0.0,0.0,0.16666666666666666,5,3,0.7,0.8852,0.10327333333333333,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline RNN avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia."
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",SVM,SVM,nao,nao,"[""ACC""]",0.9017,0.9017,0.0,fallback_zero,True,0.0,0.0,0.16666666666666666,5,3,0.7,0.9017,0.10519833333333331,"[""rotation"", ""scale"", ""horizontal flipping""]",nao,nao,"Baseline SVM avaliado no artigo. Dataset descrito apenas como public sources, sem identificação nominal do corpus; técnicas de augmentation citadas na metodologia."
ID_14,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,DEAP,HER,multiclasse,controlado,sim,NA,nao,"[""fisiologia""]",CNN,1-D CNN,nao,nao,"[""ACC""]",0.87,0.87,0.0,fallback_zero,True,0.0,0.0,0.8,5,5,0.7,0.87,0.4872,NA,nao,nao,Avaliação de reconhecimento afetivo no DEAP com sinais fisiológicos e modelo 1-D CNN.
ID_14,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,State Farm,HER,multiclasse,misto,sim,22400,nao,"[""video""]",CNN,Capsule Network,nao,nao,"[""F1_MACRO""]",0.89,0.89,0.0,fallback_zero,True,0.0,0.0,0.8,5,5,0.7,0.89,0.4984,NA,nao,nao,Avaliação de detecção de distração no dataset State Farm.
ID_15,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,Human Face Emotions (Kaggle),FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.98,0.98,0.0,fallback_zero,True,0.0,0.0,0.0,5,5,0.7,0.98,0.0,"[""cropping"", ""rotation"", ""flipping""]",nao,nao,Modelo avaliado no dataset Human Face Emotions (Kaggle).
ID_16,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",CNN,CNN,nao,nao,"[""F1_MACRO""]",0.9257,0.9257,0.0,fallback_zero,True,0.0,0.0,0.0,5,5,0.7,0.9257,0.0,"[""rotation"", ""zoom"", ""horizontal flipping""]",nao,nao,Macro-F1 priorizado em relação à acurácia na avaliação multiclasse.
ID_16,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,NA,FER,multiclasse,NA,nao,NA,nao,"[""video""]",SVM,SVM,nao,nao,"[""F1_MACRO""]",0.8924,0.8924,0.0,fallback_zero,True,0.0,0.0,0.0,5,5,0.7,0.8924,0.0,"[""rotation"", ""zoom"", ""horizontal flipping""]",nao,nao,Baseline SVM comparado no estudo.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,FER+,FER,multiclasse,misto,nao,15339,nao,"[""video""]",CNN,MABD,nao,sim,"[""ACC""]",0.6332,0.6332,0.0,fallback_zero,True,1.0,0.5,0.5,5,5,0.7,0.6332,0.29662,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Avaliação cross-dataset com treino em RAF-DB e teste em FER+.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,JAFFE,FER,multiclasse,controlado,nao,15339,nao,"[""video""]",CNN,MABD,nao,sim,"[""ACC""]",0.2336,0.2336,0.14285714285714285,base_multiclasse_padrao,False,1.0,0.5,0.5,5,5,0.7,0.10586666666666666,0.11205333333333334,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Avaliação cross-dataset com treino em RAF-DB e teste em JAFFE.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,ABD,nao,nao,"[""ACC""]",0.8164,0.8164,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.5,5,5,0.7,0.7858,0.27503,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,DenseNet121,nao,nao,"[""ACC""]",0.8145,0.8145,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.5,5,5,0.7,0.7835833333333333,0.27425416666666663,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,MABD,nao,nao,"[""ACC""]",0.8213,0.8213,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.5,5,5,0.7,0.7915166666666665,0.2770308333333333,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,MobileNet,nao,nao,"[""ACC""]",0.7105,0.7105,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.5,5,5,0.7,0.6622499999999999,0.23178749999999995,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,RAF-DB,FER,multiclasse,selvagem,nao,15339,nao,"[""video""]",CNN,XceptionNet,nao,nao,"[""ACC""]",0.7985,0.7985,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.5,5,5,0.7,0.7649166666666667,0.2677208333333333,"[""rotation"", ""horizontal-flip"", ""shear"", ""width shift"", ""height shift"", ""zoom"", ""rescale""]",nao,nao,Baseline intra-dataset em RAF-DB.
ID_18,Deep Learning for Facial Expression Recognition using EffeicienteNetB0,CK+,FER,multiclasse,controlado,nao,NA,sim,"[""video""]",CNN,EfficientNetB0,nao,nao,"[""F1_MACRO""]",0.7368,0.7368,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.0,5,5,0.7,0.6929333333333333,0.0,NA,nao,nao,Ambiente de coleta preenchido via fallback do CK+
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,CK+,FER,multiclasse,controlado,nao,1000,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.86,0.86,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.3,5,5,0.7,0.8366666666666666,0.17569999999999997,NA,nao,nao,Resultado unimodal facial no CK+.
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,FER-2013,FER,multiclasse,misto,nao,35000,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",0.86,0.86,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.3,5,5,0.7,0.8366666666666666,0.17569999999999997,NA,nao,nao,Resultado unimodal facial no FER-2013.
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,RAVDESS,MULTIMODAL,multiclasse,controlado,sim,1440,nao,"[""video"", ""audio""]",Multimodal,NA,nao,nao,"[""ACC""]",0.69,0.69,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.69,0.14489999999999997,NA,nao,nao,Resultado de fusão multimodal unindo CNN para faces e LSTM para áudio no RAVDESS.
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,RAVDESS,SER,multiclasse,controlado,sim,1440,nao,"[""audio""]",RNN,LSTM,nao,nao,"[""ACC""]",0.61,0.61,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.61,0.1281,NA,nao,nao,Resultado unimodal de fala no RAVDESS com modelo LSTM.
ID_25,Facial Expression Recognition with Transfer Learning: A Deep Dive,CK+,FER,multiclasse,controlado,nao,NA,sim,"[""video""]",CNN,DenseNet121,nao,nao,"[""F1_MACRO""]",0.98,0.98,0.14285714285714285,base_multiclasse_padrao,False,0.0,0.0,0.0,5,5,0.7,0.9766666666666667,0.0,"[""rescaling"", ""brightness variations"", ""horizontal flips""]",nao,nao,Ambiente de coleta preenchido via fallback do dataset
ID_27,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,NA,FER,multiclasse,misto,nao,6300,nao,"[""video""]",CNN,CNN,nao,nao,"[""ACC""]",699,6.99,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,1.0,0.21,NA,nao,nao,Modelo avaliado em contexto educacional
ID_28,Identification of Emotions in a Given Speech Audio Clip by using ANN,NA,SER,multiclasse,NA,nao,2800,nao,"[""audio""]",ANN,ANN,nao,nao,"[""ACC""]",0.9567,0.9567,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9567,0.066969,NA,nao,nao,Dataset retirado do Kaggle
ID_31,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,MSP-GEO,HER,regressao,misto,sim,NA,nao,"[""video""]",RNN,BiLSTM,sim,nao,"[""CCC""]",552,5.52,0.0,fallback_zero,True,1.0,0.5,0.3,5,5,0.7,1.0,0.255,NA,nao,nao,"Regressão contínua de engajamento, boredom e confusion em contexto educacional; tratado como HER. O corpus é multimodal, mas esta linha representa o experimento visual/facial extraído."
ID_33,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,Dyadic IMPRESSION,MULTIMODAL,regressao,misto,sim,44923,nao,"[""audio"", ""video"", ""fisiologia""]",Multimodal,Listener Adaptive Cross-Domain Fusion,nao,nao,"[""CCC""]",788,7.88,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,1.0,0.06999999999999999,NA,nao,nao,CCC extraído para a dimensão de Competência.
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,Logistic,sim,nao,"[""F1_MACRO""]",0.7,0.7,0.0,fallback_zero,True,1.0,0.5,0.7,5,5,0.7,0.7,0.4479999999999999,NA,sim,nao,Baseline logístico linear no EmoPain para guarding vs. not guarding com sinais multimodais
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",ANN,MRCL,sim,nao,"[""F1_MACRO""]",778,7.78,0.0,fallback_zero,True,1.0,0.5,0.7,5,5,0.7,1.0,0.595,NA,sim,nao,Tarefa binária de guarding vs. not guarding com sinais multimodais (cinemática corporal + sEMG)
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",Boosting_ML,Boosting,sim,nao,"[""F1_MACRO""]",636,6.36,0.0,fallback_zero,True,1.0,0.5,0.7,5,5,0.7,1.0,0.595,NA,sim,nao,Baseline Boosting no EmoPain para guarding vs. not guarding com sinais multimodais
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,EmoPain,MULTIMODAL,deteccao,selvagem,nao,NA,nao,"[""video"", ""fisiologia""]",RF,RF,sim,nao,"[""F1_MACRO""]",688,6.88,0.0,fallback_zero,True,1.0,0.5,0.7,5,5,0.7,1.0,0.595,NA,sim,nao,Baseline RF no EmoPain para guarding vs. not guarding com sinais multimodais
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Arousal),nao,nao,"[""AUC""]",0.92,0.92,0.0,fallback_zero,True,0.0,0.0,0.7,5,5,0.7,0.92,0.4508,NA,nao,nao,Rótulos binários de arousal (positivo/neutro vs. negativo)
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,NA,MULTIMODAL,deteccao,selvagem,sim,138703,nao,"[""video"", ""audio""]",Boosting_ML,XGBoost with s-DA (Valence),nao,nao,"[""AUC""]",0.86,0.86,0.0,fallback_zero,True,0.0,0.0,0.7,5,5,0.7,0.86,0.42139999999999994,NA,nao,nao,Rótulos binários de valence (positivo/neutro vs. negativo)
ID_39,FacePsy - An Open-Source Affective Mobile Sensing System - Analyzing Facial Behavior and Head Gesture for Depression Detection in Naturalistic Settings,FacePsy,HER,deteccao,selvagem,sim,544,nao,"[""video""]",Boosting_ML,LightGBM (Feature Selection hybrid),nao,nao,"[""AUC""]",0.81,0.81,0.0,fallback_zero,True,0.0,0.0,0.6,5,5,0.7,0.81,0.34019999999999995,NA,sim,nao,"Detecção de episódios depressivos vs. não depressivos em ambiente naturalístico. Melhor modelo híbrido com feature selection e LightGBM, avaliado com LOPDO; AUROC=0.81 e F1=0.67. SMOTE foi usado como oversampling no treino, não como augmentation."
ID_41,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,PRIORI,SER,regressao,selvagem,sim,NA,sim,"[""audio"", ""texto""]",Transformer,Wav2Vec2 + BERT,sim,nao,"[""PCC""]",0.74,0.74,0.0,fallback_zero,True,1.0,0.5,0.9,5,5,0.7,0.74,0.6012000000000001,NA,nao,nao,Modelo áudio-texto com protocolo person-independent no corpus PRIORI.
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,ExpeR,nao,sim,"[""CCC""]",504,5.04,0.0,fallback_zero,True,1.0,0.5,1.0,5,5,0.7,1.0,0.85,NA,nao,nao,Modelo ExpeR avaliado em SER com áudio e texto
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,GEM,nao,sim,"[""CCC""]",527,5.27,0.0,fallback_zero,True,1.0,0.5,1.0,5,5,0.7,1.0,0.85,NA,nao,nao,Modelo GEM avaliado em SER com áudio e texto
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",MSP-Podcast,MULTIMODAL,regressao,selvagem,sim,40727,sim,"[""audio"", ""texto""]",Multimodal,NA,nao,sim,"[""CCC""]",453,4.53,0.0,fallback_zero,True,1.0,0.5,1.0,5,5,0.7,1.0,0.85,NA,nao,nao,Modelo multimodal de referência reportado no artigo para SER com áudio e texto.
ID_43,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,IEMOCAP,SER,multiclasse,controlado,sim,NA,nao,"[""audio""]",CNN,Attention-based CNN,sim,nao,"[""AB""]",0.6052,0.6052,0.0,fallback_zero,True,1.0,0.5,0.5,5,5,0.7,0.6052,0.28681999999999996,NA,nao,nao,"A métrica refere-se à acurácia não ponderada (UA), aqui registrada como AB, no regime speaker independent supervisionado com FL."
